,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:vegetarian-vienna-sausages,1109.0,20.1,2.55,0.4,1.8399999999999999,0.724409448818898,,,7.7,14.45,
de:kaubonbons,1644.5,5.4,3.0,49.05,0.02,0.0078740157480315,,,,0.1,
de:fruchtaufstrich,652.0,0.5,0.1,35.0,0.01,0.00393700787401575,,,,1.0,
es:boissons-edulcorees,276.5,0.0,0.0,2.95,0.034999999999999996,0.013779527559055125,,18.0,0.05,0.05,18.0
de:des-4-mois,234.0,0.15000000000000002,0.0,9.85,0.04999999999999995,0.0196850393700787,,,2.05,0.75,
de:limburger,1069.5,18.35,12.15,0.5,2.4,0.9448818897637794,,,,22.65,
fr:himbeeren,221.0,0.5,0.0,7.5,0.0,0.0,,,7.0,1.0,
de:saucisses-vegetales,1033.0,10.85,1.45,2.25,1.4500000000000002,0.5708661417322836,,,1.5,29.05,
en:quartered-champignon-mushrooms,0.0,0.5,0.1,0.5,0.04,0.015748031496063,,,1.3,1.8,
ro:lapte-cu-arome,297.0,1.1,0.75,10.899999999999999,0.12000000000000001,0.047244094488189003,,,0.7,2.3,
en:ungezuckerte-getranke,222.0,0.0,0.0,8.2,0.05,0.01968503937007875,,100.0,1.4,0.5,100.0
en:dried-coconut-flour,2776.0,65.9,62.0,7.3,0.04,0.015748031496063,,,15.45,7.0,
de:obst,289.0,0.45,0.1,14.7,0.01,0.00393700787401575,,,,0.5,
es:tortillas-de-trigo,1273.0,6.2,2.95,2.7,1.1,0.43307086614173207,,,3.1500000000000004,7.5,
ru:биойогурт-фруктово-ягодный,330.0,2.0,,8.0,,,,,,2.8,
ru:йогурт-фруктово-ягодный,330.0,2.0,,8.0,,,,,,2.8,
ru:изделия-хлебобулочные-сухарные,1830.0,9.5,,,,,,,,10.0,
ru:напитки-сокосодержащие-фруктовые-и-фруктово-овощные-для-детского-питания,195.0,,,,,,,,,,
ru:boissons,170.0,0.55,0.01,10.8,0.0499999999999999,0.0196850393700787,,,1.2,1.8499999999999999,
en:smetana-with-15-0-to-19-0-fat,654.25,15.0,,,,,,,,2.6,
ru:cereales-et-pommes-de-terre,1477.0,5.65,2.3,1.1,0.65,0.25590551181102356,,,4.3,5.1,
en:ukrainian-bread,842.0,1.2,,,,,,,,6.75,
en:caviar-substitutes,499.5,9.7,0.0,0.0,3.0,1.1811023622047199,,,,0.7,
ru:творожная-масса,670.0,4.5,,11.5,,,,,,13.0,
en:brined-cheeses,1262.0,23.9,17.0,0.5,1.8,0.708661417322835,,,0.5,20.25,
ru:curd-snacks,1590.0,26.0,,,,,,,,5.6,
ru:сырки-глазированные,1590.0,26.0,,,,,,,,5.6,
ru:хлеб-белый-из-пшеничной-муки-высшего-сорта,1014.0,0.8,,,,,,,,7.9,
en:rice-bran-oils,2276.0,34.0,13.5,2.0,0.0,0.0,,,0.0,3.9499999999999997,
en:sodas-au-cola,171.0,0.0,0.0,10.0169815,0.0,0.0,,,0.0,0.0,
nl:snacks-sucres,1753.5,13.55,4.85,21.85,0.2143,0.0843700787401575,,,2.0,5.95,
en:chips-de-pommes-de-terre-aromatisees,2188.0,31.25,2.55,2.45,1.4500000000000002,0.5708661417322836,,,3.95,6.05,
en:sliced-white-bread,993.5,1.7,0.3,3.5,0.89958,0.3541653543307085,,,2.8499999999999996,8.7,
en:bieres,167.0,0.0,0.0,0.4,0.05302,0.0208740157480315,,,1.95,0.3,
de:jus-d-orange-100-pur-jus,185.0,0.0,0.0,8.85,0.0,0.0,100.0,100.0,,0.8,100.0
fr:chips-de-fruits,1405.0,0.7045,0.0,45.9,0.0,0.0,,,15.5,4.965,
it:lattiero-caseario,613.0,8.5,5.95,4.15,0.7,0.2755905511811025,,,0.15,8.5,
ro:condimente,475.5,1.1,0.3,7.5,46.0,18.11023622047245,,,4.7,4.050000000000001,
nl:matieres-grasses,3574.5,95.8,13.4,0.0,0.0,0.0,,,0.0,0.0,
nl:epicerie,728.5,11.35,1.0,10.2,1.2999999999999998,0.5118110236220474,,,2.0,1.15,
fr:chocolats-belges,2255.0,34.1,20.5,44.35,0.12024,0.04733858267716535,,,6.65,7.4,
fr:oeufs-en-chocolat-au-lait,2297.0,33.35,21.55,54.25,0.25367,0.09987007874015749,,,1.0,7.05,
fr:bebidas-carbonatadas,64.0,0.0,0.0,3.75,0.047700000000000006,0.0187795275590551,,,0.0,0.0,
fr:ongesuikerde-dranken,15.0,0.0,0.0,0.25,0.0,0.0,,,0.0,0.0,
es:boissons-sucrees,143.5,0.0,0.0,8.15,0.025,0.00984251968503935,,,0.0,0.0,
es:eaux,0.0,0.0,0.0,0.0,0.031731,0.01249251968503935,,,,0.0,
pt:boissons,0.0,0.15,0.05,2.35,0.45999999999999897,0.181102362204724,,,7.9,2.4,
pt:leites,195.0,1.6,0.9,4.8,0.115,0.045275590551181105,,,0.0,3.2,
pt:cereais-pequeno-almoco,1694.5,5.45,2.25,17.5,1.0,0.39370078740157455,,,7.05,11.5,
